,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
31,32,NCT01343511,Safety and Efficacy of Stem Cell Therapy in Patients With Autism,,Completed,No Results Available,Autism,Biological: human cord blood mononuclear cells|Biological: human cord blood mononuclear cells and human umbilical cord mesenchymal stem cells,Childhood Autism Rating Scale，CARS|Clinical Global Impression Scale，CGI|Aberrant Behavior Checklist，ABC|Adverse Event and Serious Adverse Event,"Shenzhen Beike Bio-Technology Co., Ltd.|Shandong Jiaotong Hospital|Association for the Handicapped Of Jinan",All,3 Years to 12 Years   (Child),Phase 1|Phase 2,37.0,Industry|Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,BKCR-AUTISM-1.0(2009),2009-03-01,2010-06-01,2011-05-01,2011-04-28,,2011-10-14,"Shandong Jiaotong Hospital, Jinan, Shandong, China",,https://ClinicalTrials.gov/show/NCT01343511
32,33,NCT02192749,Allogeneic Umbilical Cord Mesenchymal Stem Cell Therapy for Autism,,Completed,No Results Available,Autism,Biological: Umbilical cord mesenchymal stem cells,Number of participants with adverse events|Number of participants with a change in disability as measured by the Autism Treatment Evaluation Checklist (ATEC)|Number of participants with a change in disability as measured by the Childhood Autism Rating Scale (CARS)|Change from baseline macrophage-derived chemokine (MDC)|Change from baseline thymus and activation-regulated chemokine (TARC),Translational Biosciences,All,6 Years to 16 Years   (Child),Phase 1|Phase 2,20.0,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,TBS-UCMSC-ASD001,2014-07-01,2017-08-01,2017-08-01,2014-07-17,,2017-10-13,"Stem Cell Institute, Panama City, Panama",,https://ClinicalTrials.gov/show/NCT02192749
34,35,NCT02111551,Phase I Nicotinic Agonist Treatment Trial for Autism,,Terminated,No Results Available,Autism,Drug: DMXB-A 150 mg|Other: placebo|Drug: DMXB-A 75 mg,Difference between drug and placebo on theTotal Scale Score on the repeatable Battery for the Assessment of neuropsychological Status at 2 hours after administration|Difference between drug and placebo on the CPT at 30 minutes after administration|Difference between the P50 auditory evoked potential test/conditioning ratio 1 hour after administration|Difference between placebo and drug on the Social Responsiveness scale 2 hours after administration,"University of Colorado, Denver",All,18 Years to 50 Years   (Adult),Phase 1,2.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",14-0614,2015-06-01,2016-05-01,2016-05-01,2014-04-11,,2016-06-16,"University of Colorado Denver, Aurora, Colorado, United States",,https://ClinicalTrials.gov/show/NCT02111551
38,39,NCT02627508,Pilot Trial of Pregnenolone in Autism,,Recruiting,No Results Available,Autism Spectrum Disorder|Autism,Drug: Pregnenolone|Drug: Placebo,"Change from baseline in parent rated Aberrant Behavior Checklist Irritability (ABC-I) score during treatment|Change from baseline in parent rated Aberrant Behavior Checklist (ABC) scores during treatment|Change from baseline in parent rated Sensory Profile Questionnaire (SPQ) scores during treatment|Change from baseline in Vineland Adaptive Behavior Scales Second Edition (VABS-II)|Change from baseline in Clinical Global Impression (CGI) scores during treatment|Change from baseline in levels of pregnenolone and its related neurosteroids in peripheral blood|Change from baseline on the Autism Diagnostic Observation Schedule (ADOS)|Change from baseline in laboratory based eye-gaze measures|Change from baseline in laboratory based electroencephalography (EEG) measures|Change from baseline in laboratory clinical lab values including complete metabolic panel, complete blood count with differential, cholesterol panel and routine urinalysis.|Change from baseline in parent rated Social Responsiveness Scale (SRS) scores during treatment|Change from baseline on the Dosage Record Treatment Emergent Symptom Scale (DOTES) scores during treatment",Stanford University|Simons Foundation,All,"14 Years to 25 Years   (Child, Adult)",Phase 2,40.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",IRB-34762,2016-01-29,2023-04-01,2023-04-01,2015-12-11,,2021-05-03,"Stanford University School of Medicine, Stanford, California, United States",,https://ClinicalTrials.gov/show/NCT02627508
40,41,NCT00498173,Effectiveness of Atomoxetine in Treating ADHD Symptoms in Children and Adolescents With Autism,,Completed,Has Results,Autism,Drug: Atomoxetine|Drug: Placebo,"ADHD Rating Scale (ADHDRS)-Home Version Total Score (Randomized Phase)|ADHD Rating Scale (ADHDRS)-Home Version Inattention and Hyperactivity Scores (Randomized Phase)|Aberrant Behavior Checklist (ABC) (Randomized Phase)|Social Responsiveness Scale (SRS) (Randomized Phase)|Vineland Adaptive Behavior Scales (VABS) Composite Score (Randomized Phase)|Pediatric Quality of Life Inventory (Randomized Phase)|Pediatric Anxiety Rating Scale, 5-Item Total (Randomized Phase)|Odds of Clinical Global Impression-Improvement Scale, Very Much or Much Improved (1 or 2) (Randomized Phase)|Change in ADHD Rating Scale (ADHDRS)-Home Version Total Score (Open-label Trial)|Change in ADHD Rating Scale (ADHDRS)-Home Version Inattention and Hyperactivity Scores (Open-label Trial)|Change in Aberrant Behavior Checklist (ABC) (Open-label Trial)|Change in Social Responsiveness Scale (SRS) (Open-label Trial)|Change in Vineland Adaptive Behavior Scales (VABS) Composite Score (Open-label Trial)|Change in Pediatric Quality of Life Inventory (Open-label Trial)|Change in Pediatric Anxiety Rating Scale, 5-item Total (Open-label Trial)",Massachusetts General Hospital|National Institute of Mental Health (NIMH),All,5 Years to 15 Years   (Child),Phase 3,60.0,Other|NIH,Interventional,"Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",R01MH077600|DDTR B2-NDA,2007-07-01,2015-10-01,2015-10-01,2007-07-09,2017-08-14,2017-08-14,"Christian Sarkine Autism Treatment Center at Riley Hospital for Children, Indianapolis, Indiana, United States|Lurie Center - MassGeneral Hospital, Lexington, Massachusetts, United States",,https://ClinicalTrials.gov/show/NCT00498173
42,43,NCT03887754,Therapeutic Issues for Autism,,Completed,No Results Available,Autism Spectrum Disorder,Drug: Risperidone|Device: hyperbaric oxygen therapy|Drug: Non specific Multivitamin,"Childhood Autism Rating Scale version 2 (CARS2)measured after one year and after two years to compare the effect of hyperbaric oxygen therapy, Risperidone, both of them and the placebo effect",Minia University,All,5 Years to 7 Years   (Child),Phase 2,80.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,Autism Spectrum Disorder,2016-01-01,2018-01-01,2018-12-01,2019-03-25,,2019-03-25,,,https://ClinicalTrials.gov/show/NCT03887754
44,45,NCT02947048,Safety of L1-79 in Autism,,Completed,No Results Available,Autism,Drug: L1-79|Drug: Placebo,Adverse event frequency|Change from baseline in CGI|Change from Baseline in Vineland Adaptive Behavior Scales - 2nd Edition|Change from Baseline in the Autism Diagnostic Observation Schedule (ADOS)|Change from baseline in Aberrant Behavior Checklist - Community|Change from baseline in the Social Responsiveness Scale - 2nd edition (SRS-2)|Changes from baseline in the Repetitive Behavior Scale - Revised (RBS-R).|Plasma concentrations of L1-79,F Peter Halas|Yamo Pharmaceuticals LLC,Male,"13 Years to 21 Years   (Child, Adult)",Phase 2,42.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",HT 02-121,2016-10-01,2017-12-01,2018-02-01,2016-10-27,,2020-02-10,"Eric Bartky MD, Bartky Health Care Center, Livingston, New Jersey, United States|F. Peter Halas MD, Sea Girt Pediatrics, Sea Girt, New Jersey, United States",,https://ClinicalTrials.gov/show/NCT02947048
46,47,NCT00549562,Study of Paliperidone ER in Adolescents and Young Adults With Autism,,Completed,Has Results,Autism,Drug: Paliperidone ER,The Clinical Global Impression-Improvement(CGI-I)|The Aberrant Behavior Checklist|The Children's Yale-Brown Obsessive Compulsive Scale Modified for Pervasive Developmental Disorders|The Social Responsiveness Scale|The Vineland Adaptive Behavior Scales (VABS) - Maladaptive Behavior Domain,"Indiana University School of Medicine|Ortho-McNeil Janssen Scientific Affairs, LLC|Indiana University",All,"12 Years to 21 Years   (Child, Adult)",Phase 3,25.0,Other|Industry,Interventional,Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,0709-24|R076477-AUT-4002,2007-11-01,2010-09-01,2010-09-01,2007-10-26,2017-05-16,2017-05-16,"Riley Child & Adolescent Psychiatry Clinic- Riley Hospital, Indianapolis, Indiana, United States",,https://ClinicalTrials.gov/show/NCT00549562
48,49,NCT00252603,Galantamine Versus Placebo in Childhood Autism,,Completed,No Results Available,Autism|Childhood Autism,Drug: Galantamine,Autism Diagnostic Observation Schedule-Generic (ADOS-G)- Change from Baseline to Final Visit|Clinical Global Impression Improvement (CGI)- Change from Baseline to Final Visit|Aberrant Behavior Checklist (ABC) (hyperactivity/irritability sections)- Change from Baseline to Final Visit|Vineland Adaptive Behavior Scale- Change from Baseline to Final Visit|MacArthur Communicative Development Inventory (MCDI)- Change from Baseline to Final Visit|Conners' Parent Rating Scale-Revised: Long form (CPRS-R:L)- Change from Baseline to Final Visit,"University of Medicine and Dentistry of New Jersey|National Alliance for Autism Research|Rutgers, The State University of New Jersey",All,5 Years to 17 Years   (Child),Phase 3,20.0,Other,Interventional,Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Double|Primary Purpose: Treatment,4682,2004-04-01,,2007-04-01,2005-11-11,,2007-01-29,"UMDNJ Robert Wood Johnson Medical School - Dept of Psychiatry, Piscataway, New Jersey, United States",,https://ClinicalTrials.gov/show/NCT00252603
54,55,NCT03179787,Post-Marketing Surveillance Study of Aripiprazole in Patients With Autism,,Completed,Has Results,Autism,Drug: Aripiprazole oral product,Mean Changes of Aberrant Behavior Checklist-Japanese Version (ABC-J) Irritability Subscale Scores From Baseline.,"Otsuka Pharmaceutical Co., Ltd.",All,6 Years to 17 Years   (Child),,528.0,Industry,Observational,Observational Model: Cohort|Time Perspective: Prospective,031-101-00116,2017-04-01,2020-03-17,2020-07-06,2017-06-07,2021-09-16,2021-09-16,"Otsuka Pharmaceutical Co., Ltd., Tokyo, Japan","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/87/NCT03179787/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/87/NCT03179787/SAP_001.pdf",https://ClinicalTrials.gov/show/NCT03179787
