"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT00881452","A Trial of CM-AT in Children With Autism","CM-AT","Completed","No Results Available","Autism","Drug: CM-AT|Drug: Placebo","Evidence of changes in behavior scales associated with the core symptoms of autism|Other key measures of behavior and quality of life associated with autism","Curemark","All","3 Years to 8 Years   (Child)","Phase 3","182","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","00101","May 2009","June 2011","September 2011","April 15, 2009",,"April 19, 2018","Southwest Autism Research and Resource Center, Phoenix, Arizona, United States|University of California, Davis, M.I.N.D. Institute, Sacramento, California, United States|University of California, San Francisco, San Francisco, California, United States|Neuropsychiatric Research Center of Orange County, Santa Ana, California, United States|Lake Mary Pediatrics, Orange City, Florida, United States|Institute for Behavioral Medicine, Smyrna, Georgia, United States|Alexian Brothers Center for Psychiatric Research, Hoffman Estates, Illinois, United States|Louisiana State University Health Science Center, Shreveport, Louisiana, United States|Saint Peters University Hospital, New Brunswick, New Jersey, United States|Mount Sinai School of Medicine, New York, New York, United States|University of North Carolina, Chapel Hill, North Carolina, United States|Ohio State University, Columbus, Ohio, United States|Oklahoma University Child Study Center, Oklahoma City, Oklahoma, United States|Cyn3rgy Research, Gresham, Oregon, United States|Hershey Medical Center, Hershey, Pennsylvania, United States|Drexel University, Philadelphia, Pennsylvania, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States|University of Texas, Houston, Houston, Texas, United States|Westside Medical, Clinton, Utah, United States",,"https://ClinicalTrials.gov/show/NCT00881452"
12,"NCT00912691","A Trial of CM-AT in Children With Autism- Open Label Extension Study","CM-AT","Completed","No Results Available","Autism","Drug: CM-AT","Evidence of changes in behavior scales associated with the core symptoms of autism|Other key measures of behavior and quality of life associated with autism","Curemark","All","9 Years to 12 Years   (Child)","Phase 3","165","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","00102/Autism","January 2010","February 2016","February 2016","June 3, 2009",,"March 1, 2019","Southwest Autism Research and Resource Center, Phoenix, Arizona, United States|University of California, Davis, M.I.N.D. Institute, Sacramento, California, United States|University of California, San Francisco, San Francisco, California, United States|Neuropsychiatric Research Center of Orange County, Santa Ana, California, United States|Lake Mary Pediatrics, Orange City, Florida, United States|Institute for Behavioral Medicine, Smyrna, Georgia, United States|Alexian Brothers Center for Psychiatric Research, Hoffman Estates, Illinois, United States|Louisiana State University, Shreveport, Louisiana, United States|Saint Peter's University Hospital, New Brunswick, New Jersey, United States|Mount Sinai School of Medicine, Manhattan, New York, United States|University of North Carolina, Chapel Hill, Chapel Hill, North Carolina, United States|Ohio State University, Columbus, Ohio, United States|Oklahoma State University, Child Study Center, Oklahoma City, Oklahoma, United States|Cyn3rgy Research Center, Gresham, Oregon, United States|Hershey Medical Center, Hershey, Pennsylvania, United States|Drexel University, Philadelphia, Pennsylvania, United States|Universtiy of Pittsburgh, Pittsburgh, Pennsylvania, United States|University of Texas, Houston, Houston, Texas, United States|Ericksen Research & Development, Clinton, Utah, United States",,"https://ClinicalTrials.gov/show/NCT00912691"
13,"NCT03786744","Allogenic Cord Blood Transfusion in Patients With Autism",,"Completed","Has Results","Autism Spectrum Disorder|Autism","Biological: ASD CB-MNC injection.|Other: Standard therapy.","A Number of Participants With Non-serious and Serious Adverse Events 24 Hrs Post-transfusion|Autism Treatment Evaluation Checklist (ATEC).|Cytokine Analysis.|Immune Status as Determined by Percentage of Peripheral Blood Cells|Immune Status as Determined by Absolute Cell Count of Peripheral Blood Cells","State-Financed Health Facility ""Samara Regional Medical Center Dinasty""","All","3 Years to 15 Years   (Child)","Phase 1|Phase 2","20","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","12112018","October 12, 2018","October 12, 2019","December 12, 2019","December 26, 2018","November 19, 2020","November 19, 2020","Medical Centre Dinasty, Samara, Russian Federation","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/44/NCT03786744/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03786744"
14,"NCT02807766","Brain Plasticity of Autism in Response to Early Behavioral Intervention: A Multimodal MRI Study",,"Recruiting","No Results Available","Autism","Behavioral: Behavior modification|Behavioral: Behavior modification and sensory integration training|Behavioral: Behavior modification and applied behavioral analysis|Behavioral: Behavior modification and TEACCH","Brain structural and functional change under behavioral intervention at 6 months in children with autism|Prediction model of intervention effect based on multimodal multivariate pattern analysis methods","University of Electronic Science and Technology of China","All","2 Years to 8 Years   (Child)","Not Applicable","150","Other","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Basic Science","UESTC-chenhuafulab-001","May 2016","December 2022","December 2022","June 21, 2016",,"January 18, 2020","Department of Children's and Adolescent Health, Public Health College of Harbin Medical University, Harbin, Heilongjiang, China|Center for Information in BioMedicine, Key laboratory for NeuroInformation of Ministry of Education, School of Life Science and Technology, University of Electronic Science and Technology of China, Chengdu, Sichuan, China",,"https://ClinicalTrials.gov/show/NCT02807766"
15,"NCT03368001","Investigating Social Competence in Youth With Autism",,"Recruiting","No Results Available","Autism Spectrum Disorder","Behavioral: SENSE Theatre|Behavioral: Tackling Teenage Together","NEPSY Memory for Faces Delayed|Incidental Face Memory (IFM) Event-Related Potential (ERP) task|Social Responsiveness Scale (SRS)|Adaptive Behavior Scales for Children (ABAS)|Contextual Assessment of Social Skills (CASS)|Child Behavior Checklist (CBCL)","Vanderbilt University Medical Center","All","8 Years to 16 Years   (Child)","Not Applicable","405","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","171153","November 22, 2017","January 2023","January 2023","December 11, 2017",,"August 30, 2021","University of Alabama, Tuscaloosa, Alabama, United States|Stony Brook University, Stony Brook, New York, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/01/NCT03368001/ICF_000.pdf","https://ClinicalTrials.gov/show/NCT03368001"
16,"NCT03152383","Examination of Differential Valuation of Leisure Items and Attention as Reinforcers in Children With Autism",,"Completed","No Results Available","Autism","Behavioral: Training trials|Behavioral: Progressive Ratio Session|Behavioral: Re-test|Behavioral: Pairing Protocol","Breakpoint achieved for each stimulus|Change in breakpoints","Emory University|National Institute of Mental Health (NIMH)","All","2 Years to 6 Years   (Child)","Not Applicable","64","Other|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","IRB00056563|R21MH108873","June 22, 2012","December 31, 2020","December 31, 2020","May 15, 2017",,"March 1, 2021","Marcus Autism Center, Atlanta, Georgia, United States",,"https://ClinicalTrials.gov/show/NCT03152383"
17,"NCT04533607","Modular Approach for Autism Programs in Schools","MAAPS","Recruiting","No Results Available","Autism Spectrum Disorder","Behavioral: MAAPS","Change in score for Developmental Disability-Clinical Global Assessment Scale (DD-CGAS)|Change in rating for Teacher Nominated Target Problems (TNTP)|Change in score for Social Skills Improvement System (SSIS)|Change in score for Children's Communication Checklist, Second Edition (CCC-2)|Change in score for Children's Yale-Brown Obsessive-Compulsive Scales-ASD (CYBOCS-ASD)|Change in engaged time measured by Academic Engaged Time (AET)|Change in score for Adaptive Behavior Assessment System, Third Edition (ABAS-3)|Usage Rating Profile-Intervention, Revised (URP-IR)","May Institute|University of South Florida|University of Rochester","All","5 Years to 12 Years   (Child)","Not Applicable","120","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","R324A200154","November 4, 2020","June 2024","June 2024","August 31, 2020",,"February 24, 2021","University of South Florida, Tampa, Florida, United States|May Institute, Randolph, Massachusetts, United States|University of Rochester, Rochester, New York, United States",,"https://ClinicalTrials.gov/show/NCT04533607"
18,"NCT01911442","Lurasidone Pediatric Autism Study",,"Completed","Has Results","Autism","Drug: Lurasidone 20 mg daily|Drug: Lurasidone|Drug: Placebo","Change in Aberrant Behavior Checklist (ABC) Irritability Subscale Score at Week 6|Change From Baseline in Clinical Global Impression-Severity (CGI-S) at Week 6|Change From Baseline in Aberrant Behavior Checklist (ABC) Hyperactivity Subscale Score at Week 6|Change From Baseline in Children's Yale-Brown Obsessive Compulsive Scales (CY-BOCS) Modified for Pervasive Developmental Disorders (PDDs)|Change From Baseline in the Caregiver Strain Questionnaire (CGSQ)|Proportion of Subjects Who Have CGI-I Score of 1 (Very Much Improved) or 2 (Much Improved) at Week 6|Proportion of Subjects Who Have at Least 25% Reduction From Baseline to Week 6 in the ABC Irritability Subscale Score.","Sunovion","All","6 Years to 17 Years   (Child)","Phase 3","150","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","D1050325","August 2013","November 2014","November 2014","July 30, 2013","February 25, 2016","February 25, 2016","Harmonex Neuroscience Research, Dothan, Alabama, United States|Southwest Autism Research & Resource Center, Phoenix, Arizona, United States|Newport Beach Clinical Research Associates, Newport Beach, California, United States|University of California San Francisco Medical Center, San Francisco, California, United States|Florida Clinical Research Center, LLC, Bradenton, Florida, United States|Sarkis Clinical Trials - Parent, Gainesville, Florida, United States|Palm Springs Research Institute Inc, Hialeah, Florida, United States|Florida Clinical Research Center, LLC, Maitland, Florida, United States|Clinical Neuroscience Solutions, Inc., Orlando, Florida, United States|University of South Florida, Saint Petersburg, Florida, United States|Medical Research Group of Central Florida, Sanford, Florida, United States|University of South Florida, Tampa, Florida, United States|Institute for Behavioral Medicine, LLC, Smyrna, Georgia, United States|Capstone Clinical Research, Inc., Libertyville, Illinois, United States|Baber Research Group, Naperville, Illinois, United States|University of Kentucky, Lexington, Kentucky, United States|Lake Charles Clinical Trials, LLC, Lake Charles, Louisiana, United States|Kennedy Krieger Institute, Baltimore, Maryland, United States|NeuroScientific Insights, Rockville, Maryland, United States|Neurobehaviorial Medicine Group, PLLC, Bloomfield Hills, Michigan, United States|Center for Psychiatry and Behavioral Medicine, Inc., Las Vegas, Nevada, United States|Jersey Shore University Medical Center, Neptune, New Jersey, United States|Childrens Specialized Hospital, Toms River, New Jersey, United States|Montefiore Medical Center PRIME, Bronx, New York, United States|Finger Lakes Clinical Research, Rochester, New York, United States|Richmond Behavioral Associates, Staten Island, New York, United States|Chapel Hill Neurology, Chapel Hill, North Carolina, United States|University Hospitals Case Medical Center, Cleveland, Ohio, United States|The Ohio State University Nisonger Center, Columbus, Ohio, United States|Cutting Edge Research Group, Oklahoma City, Oklahoma, United States|Cyn3rgy Research & Development, Gresham, Oregon, United States|Suburban Research Associates, Media, Pennsylvania, United States|Segal Institute for Clinical Research, Charleston, South Carolina, United States|Clinical Neuroscience Solutions, Inc., Memphis, Tennessee, United States|Family Psychiatry of The Woodlands, P.A., The Woodlands, Texas, United States|Ericksen Research & Development, LLC, Clinton, Utah, United States|CRI Lifetree, Salt Lake City, Utah, United States|University of Virginia, Charlottesville, Virginia, United States|Neuroscience, Inc., Herndon, Virginia, United States|Carilion Clinic, Roanake, Virginia, United States|Pacific Institute of Medical Sciences, Bothell, Washington, United States",,"https://ClinicalTrials.gov/show/NCT01911442"
19,"NCT01388179","Deep rTMS (Repetitive Transcranial Magnetic Stimulation)for Treatment of Autism Symptoms in Children.",,"Terminated","No Results Available","Autism","Device: Transcranial Magnetic Stimulation","CGI-I(clinical global impression-I) as a measure for social functioning|ASRS (Adult ADHD Self Report Scale) as a measure for social awareness and social motivation|Facial recognition test as a measure for preference to faces vs. objects|PLS-4(Preschool Language Scale - 4 ) as a measure for language impairment.|BASC (Behavior Assessment System for Children) as a measure for anxiety|ABC (Autism Behavior Checklist)as a measure for repetitive behaviors","Brainsway|Hadassah Medical Organization","All","10 Years to 18 Years   (Child, Adult)","Phase 2","20","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","TMS-AUTISM","January 23, 2013","December 31, 2016","December 31, 2016","July 6, 2011",,"April 17, 2018","Hadassah Medical Organization, Jerusalem, Israel",,"https://ClinicalTrials.gov/show/NCT01388179"
20,"NCT04631432","Choice Switching and Autism",,"Recruiting","No Results Available","Autism Spectrum Disorder (ASD)","Diagnostic Test: Pre-screening|Behavioral: Task session","Mean run size|Advantageous selections","Technion, Israel Institute of Technology","All","18 Years and older   (Adult, Older Adult)",,"400","Other","Observational","Observational Model: Case-Control|Time Perspective: Cross-Sectional","109171|Technion institute 109171","January 1, 2021","October 2021","October 2021","November 17, 2020",,"September 9, 2021","Technion, Israel Institute of Technology, Haifa, Israel",,"https://ClinicalTrials.gov/show/NCT04631432"
21,"NCT03467464","The Efficacy of EMDR in Youngsters With Autism","EYE-catcher","Unknown status","No Results Available","Autism Spectrum Disorder","Other: Eye Movement Desensitization and Reprocessing (EMDR)","Change in autism symptoms|Change in disease severity|Change in experienced stress|Change in general well-being|Change in working memory capacity","Karakter Kinder- en Jeugdpsychiatrie|Fonds Psychische Gezondheid","All","12 Years to 21 Years   (Child, Adult)","Not Applicable","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NL6002609116","December 1, 2017","December 2018","December 2018","March 16, 2018",,"March 16, 2018","Karakter kinder- en jeugdpsychiatrie, Nijmegen, Gelderland, Netherlands",,"https://ClinicalTrials.gov/show/NCT03467464"
22,"NCT03413241","Pain in Autism Spectrum Disorder",,"Recruiting","No Results Available","High-functioning Autism",,"Pain processing and modulation mechanisms underlying the pain sensitivity profile of adults with HF-ASD","Rambam Health Care Campus","All","18 Years to 45 Years   (Adult)",,"172","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","ASD 0496-17-RMB","May 6, 2018","January 1, 2022","October 1, 2022","January 29, 2018",,"May 20, 2021","The lab of clinical neurophysiology, the faculty of medicine, Technion and Rambam Medical Center, Haifa, Israel",,"https://ClinicalTrials.gov/show/NCT03413241"
